DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00176,Fluvoxamine,SmallMoleculeDrug,Q9HB55,Cytochrome P450 3A43
DB00176,Fluvoxamine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00176,Fluvoxamine,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00176,Fluvoxamine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00176,Fluvoxamine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00176,Fluvoxamine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00177,Valsartan,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00178,Ramipril,SmallMoleculeDrug,P06276,Cholinesterase
DB00180,Flunisolide,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00182,Amphetamine,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00182,Amphetamine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00183,Pentagastrin,SmallMoleculeDrug,P06276,Cholinesterase
DB00184,Nicotine,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00184,Nicotine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00184,Nicotine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00184,Nicotine,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00184,Nicotine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00184,Nicotine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00184,Nicotine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00184,Nicotine,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A
DB00184,Nicotine,SmallMoleculeDrug,P27338,Amine oxidase [flavin-containing] B
DB00184,Nicotine,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00184,Nicotine,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00184,Nicotine,SmallMoleculeDrug,Q16696,Cytochrome P450 2A13
DB00184,Nicotine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00185,Cevimeline,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00185,Cevimeline,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00185,Cevimeline,SmallMoleculeDrug,Q01740,Dimethylaniline monooxygenase [N-oxide-forming] 1
DB00186,Lorazepam,SmallMoleculeDrug,P54855,UDP-glucuronosyltransferase 2B15
DB00186,Lorazepam,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00187,Esmolol,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00188,Bortezomib,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00188,Bortezomib,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00188,Bortezomib,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00188,Bortezomib,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00188,Bortezomib,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00191,Phentermine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00193,Tramadol,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00193,Tramadol,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00193,Tramadol,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00193,Tramadol,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00194,Vidarabine,SmallMoleculeDrug,P00813,Adenosine deaminase
DB00195,Betaxolol,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00195,Betaxolol,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00196,Fluconazole,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00196,Fluconazole,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00196,Fluconazole,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00196,Fluconazole,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00197,Troglitazone,SmallMoleculeDrug,P11511,Aromatase
DB00197,Troglitazone,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00197,Troglitazone,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00197,Troglitazone,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00197,Troglitazone,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00197,Troglitazone,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00197,Troglitazone,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00197,Troglitazone,SmallMoleculeDrug,P22310,UDP-glucuronosyltransferase 1-4
DB00197,Troglitazone,SmallMoleculeDrug,P19224,UDP-glucuronosyltransferase 1-6
DB00197,Troglitazone,SmallMoleculeDrug,Q9HAW7,UDP-glucuronosyltransferase 1-7
DB00197,Troglitazone,SmallMoleculeDrug,Q9HAW9,UDP-glucuronosyltransferase 1-8
DB00197,Troglitazone,SmallMoleculeDrug,O60656,UDP-glucuronosyltransferase 1-9
DB00197,Troglitazone,SmallMoleculeDrug,Q9HAW8,UDP-glucuronosyltransferase 1-10
DB00197,Troglitazone,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00197,Troglitazone,SmallMoleculeDrug,P54855,UDP-glucuronosyltransferase 2B15
DB00197,Troglitazone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00197,Troglitazone,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00197,Troglitazone,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00197,Troglitazone,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00198,Oseltamivir,SmallMoleculeDrug,P23141,Liver carboxylesterase 1
DB00199,Erythromycin,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00199,Erythromycin,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00199,Erythromycin,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00201,Caffeine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00201,Caffeine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00201,Caffeine,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00201,Caffeine,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00201,Caffeine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00201,Caffeine,SmallMoleculeDrug,P04798,Cytochrome P450 1A1
DB00201,Caffeine,SmallMoleculeDrug,Q16678,Cytochrome P450 1B1
DB00201,Caffeine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00202,Succinylcholine,SmallMoleculeDrug,P06276,Cholinesterase
DB00203,Sildenafil,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00203,Sildenafil,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00203,Sildenafil,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00203,Sildenafil,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00203,Sildenafil,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00203,Sildenafil,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00203,Sildenafil,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00204,Dofetilide,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00205,Pyrimethamine,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00206,Reserpine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00207,Azithromycin,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00208,Ticlopidine,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00208,Ticlopidine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00208,Ticlopidine,SmallMoleculeDrug,P05164,Myeloperoxidase
DB00208,Ticlopidine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00208,Ticlopidine,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00208,Ticlopidine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00208,Ticlopidine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00208,Ticlopidine,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00209,Trospium,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00211,Midodrine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00213,Pantoprazole,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00213,Pantoprazole,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00214,Torasemide,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00214,Torasemide,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00215,Citalopram,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00215,Citalopram,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00215,Citalopram,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00215,Citalopram,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00216,Eletriptan,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00216,Eletriptan,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00216,Eletriptan,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00216,Eletriptan,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00216,Eletriptan,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB00216,Eletriptan,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00218,Moxifloxacin,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00220,Nelfinavir,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00220,Nelfinavir,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00220,Nelfinavir,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00220,Nelfinavir,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00220,Nelfinavir,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00220,Nelfinavir,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00220,Nelfinavir,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00220,Nelfinavir,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00222,Glimepiride,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00224,Indinavir,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00224,Indinavir,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00224,Indinavir,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00224,Indinavir,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00224,Indinavir,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00227,Lovastatin,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00227,Lovastatin,SmallMoleculeDrug,Q15166,Serum paraoxonase/lactonase 3
DB00227,Lovastatin,SmallMoleculeDrug,P10632,Cytochrome P450 2C8
DB00227,Lovastatin,SmallMoleculeDrug,P22309,UDP-glucuronosyltransferase 1-1
DB00227,Lovastatin,SmallMoleculeDrug,P35503,UDP-glucuronosyltransferase 1-3
DB00227,Lovastatin,SmallMoleculeDrug,P16662,UDP-glucuronosyltransferase 2B7
DB00227,Lovastatin,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00228,Enflurane,SmallMoleculeDrug,P05181,Cytochrome P450 2E1
DB00231,Temazepam,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00231,Temazepam,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00231,Temazepam,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00233,Aminosalicylic acid,SmallMoleculeDrug,P05164,Myeloperoxidase
DB00234,Reboxetine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00234,Reboxetine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00238,Nevirapine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
DB00238,Nevirapine,SmallMoleculeDrug,P05177,Cytochrome P450 1A2
DB00238,Nevirapine,SmallMoleculeDrug,P24462,Cytochrome P450 3A7
DB00238,Nevirapine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00238,Nevirapine,SmallMoleculeDrug,P20813,Cytochrome P450 2B6
DB00238,Nevirapine,SmallMoleculeDrug,P20815,Cytochrome P450 3A5
DB00238,Nevirapine,SmallMoleculeDrug,P11712,Cytochrome P450 2C9
DB00238,Nevirapine,SmallMoleculeDrug,P11509,Cytochrome P450 2A6
DB00239,Oxiconazole,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00239,Oxiconazole,SmallMoleculeDrug,P33261,Cytochrome P450 2C19
DB00240,Alclometasone,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00242,Cladribine,SmallMoleculeDrug,P27707,Deoxycytidine kinase
DB00243,Ranolazine,SmallMoleculeDrug,P08684,Cytochrome P450 3A4
DB00243,Ranolazine,SmallMoleculeDrug,P10635,Cytochrome P450 2D6
